"Timestamp","Как часто Вы пользуетесь платежными системами, такими как Portmone, EasyPay, UAPay, iPay (или другими), которые позволяют пополнить счет/оплатить услугу/коммунальные счета и т. д?","Что вам не нравится в процессе выбора и оплаты услуги?",""
"2017/06/14 11:37:23 AM GMT+3","Да","Ничего","Постоянно"
"2017/06/14 11:41:52 AM GMT+3","Нет","",""
"2017/06/14 11:42:24 AM GMT+3","Нет","",""
"2017/06/14 11:42:40 AM GMT+3","Нет","",""
"2017/06/14 11:42:58 AM GMT+3","Нет","Комиссионные.","Раз в месяц"
"2017/06/14 11:43:03 AM GMT+3","Нет","",""
"2017/06/14 11:43:46 AM GMT+3","Нет","",""
"2017/06/14 11:44:25 AM GMT+3","Да","","Раз в неделю"
"2017/06/14 11:45:03 AM GMT+3","Нет","",""
"2017/06/14 11:46:10 AM GMT+3","Да","Стоимость услуг","Постоянно"
"2017/06/14 11:47:35 AM GMT+3","Не пользуюсь","",""
"2017/06/14 11:48:43 AM GMT+3","Раз в месяц","все норм",""
"2017/06/14 11:49:00 AM GMT+3","Не пользуюсь","",""
"2017/06/14 11:49:16 AM GMT+3","Не пользуюсь","",""
"2017/06/14 11:49:17 AM GMT+3","Не пользуюсь","",""
"2017/06/14 11:49:19 AM GMT+3","Постоянно","Порой (с некоторыми сервисами) сложности в переходе в личный кабинет,  разность в интерфейсах.. Нужен более общий сервис в котором будет внутри встроены услуги. Яндекс Кошелек хороший пример
",""
"2017/06/14 11:49:26 AM GMT+3","Раз в месяц","?",""
"2017/06/14 11:49:38 AM GMT+3","Раз в месяц","Бывает, что нельзя заполнить поля с картой автоматически.",""
"2017/06/14 11:50:11 AM GMT+3","Постоянно","Ограничения в сумме оплаты",""
"2017/06/14 11:50:54 AM GMT+3","Постоянно","ВСЕ",""
"2017/06/14 11:50:56 AM GMT+3","Не пользуюсь","",""
"2017/06/14 11:51:44 AM GMT+3","Не пользуюсь","",""
"2017/06/14 11:53:28 AM GMT+3","Не пользуюсь","",""
"2017/06/14 11:54:13 AM GMT+3","Раз в неделю","Недостаточное колличество услуг для оплаты, замудрённая система подтверждения",""
"2017/06/14 11:57:06 AM GMT+3","Постоянно","Удобство, не нужно стоять в очередях, не выходя из дома",""
"2017/06/14 11:57:52 AM GMT+3","Раз в месяц","Ебливая авторизация, которая глючит. Поэтому юзаю PayPal.",""
"2017/06/14 11:58:14 AM GMT+3","Не пользуюсь","",""
"2017/06/14 12:00:12 PM GMT+3","Не пользуюсь","",""
"2017/06/14 12:00:19 PM GMT+3","Раз в месяц","",""
"2017/06/14 12:00:59 PM GMT+3","Раз в неделю","Не везде есть кэшбек ",""
"2017/06/14 12:04:13 PM GMT+3","Не пользуюсь","",""
"2017/06/14 12:06:05 PM GMT+3","Постоянно","относительно небольшая распространенность систем",""
"2017/06/14 12:06:33 PM GMT+3","Не пользуюсь","",""
"2017/06/14 12:06:35 PM GMT+3","Раз в месяц","много шагов",""
"2017/06/14 12:07:00 PM GMT+3","Не пользуюсь","",""
"2017/06/14 12:07:25 PM GMT+3","Не пользуюсь","Все что можно оплачивать онлайн, оплачиваю через Сбербанк онлайн",""
"2017/06/14 12:15:35 PM GMT+3","Не пользуюсь","хз",""
"2017/06/14 12:18:04 PM GMT+3","Раз в месяц","",""
"2017/06/14 12:22:34 PM GMT+3","Не пользуюсь","",""
"2017/06/14 12:25:23 PM GMT+3","Не пользуюсь","Кто здесь?",""
"2017/06/14 12:31:12 PM GMT+3","Постоянно","сложный UX",""
"2017/06/14 12:37:35 PM GMT+3","Не пользуюсь","",""
"2017/06/14 12:41:35 PM GMT+3","Не пользуюсь","",""
"2017/06/14 12:57:18 PM GMT+3","Раз в неделю","Хочется, чтобы было больше плавности, более быстрая реакция ",""
"2017/06/14 1:28:12 PM GMT+3","Раз в неделю","",""
"2017/06/14 1:52:24 PM GMT+3","Постоянно","",""
"2017/06/14 1:54:56 PM GMT+3","Раз в неделю","невозможность сделать это с помощью icloud keychain во многих случаях",""
"2017/06/14 2:15:34 PM GMT+3","Раз в неделю","- отсутствие возможности скопировать предыдущий платёж/шаблон
- отсутствие возможности просматреть предыдущий платёж/шаблон в новой вкладке (без закрытия или перехона с текущего url)",""
"2017/06/14 2:20:35 PM GMT+3","Не пользуюсь","не везде доступно",""
"2017/06/14 4:15:42 PM GMT+3","Раз в неделю","Нет нужных компаний или их сложно найти",""
"2017/06/14 4:23:08 PM GMT+3","Не пользуюсь","",""
"2017/06/14 5:47:08 PM GMT+3","Не пользуюсь","процесс выбора и оплаты",""
"2017/06/14 6:50:04 PM GMT+3","Не пользуюсь","Посредник между мной, магазином и банком, а так же конские комиссии.",""
"2017/06/15 1:15:13 PM GMT+3","Не пользуюсь","",""
"2017/06/15 4:10:35 PM GMT+3","Не пользуюсь","",""
"2017/06/15 10:59:45 PM GMT+3","Не пользуюсь","",""
"2017/06/18 4:22:28 PM GMT+3","Не пользуюсь","",""
